id ,name,party
UVDL,Ursula von der Leyen ,CDU
LK,Lars Klingbeil,SPD
NR,Norbert Röttgen,CDU
SW,Sahra Wagenknecht ,Linke
CS,Constanze Stelzenmüller,NA
CL,Christian Lindner,FDP
KS,Karl Schlögel,NA
LM,Ljudmyla Melnyk,NA
KD,Kristina Dunz,NA
AB,Annalena Baerbock,Grüne
FT,Frans Timmermans,NA
AM,Andrij Melnyk,NA
AGL,Alexander Graf Lambsdorff,FDP
ER,Egon Ramms,NA
RH,Robert Habeck,Grüne
CM,Claudia Major,NA
KP,Katja Petrowskaja,NA
RK,Roderich Kiesewetter,CDU
500,500,NA
501,501,NA
502,502,NA
503,503,NA
CDU,CDU,NA
SPD,SPD,NA
Grüne,Grüne,NA
Linke,Linke,NA
FDP,FDP,NA